0,1,2,3,4
"Census Tract 4131, Allegheny County, Pennsylvania",7148,42,003,413100
"Census Tract 4132.01, Allegheny County, Pennsylvania",3593,42,003,413201
"Census Tract 4132.02, Allegheny County, Pennsylvania",2750,42,003,413202
"Census Tract 4133, Allegheny County, Pennsylvania",4694,42,003,413300
"Census Tract 4134, Allegheny County, Pennsylvania",4292,42,003,413400
"Census Tract 4135, Allegheny County, Pennsylvania",6395,42,003,413500
"Census Tract 4141.01, Allegheny County, Pennsylvania",5394,42,003,414101
"Census Tract 4141.02, Allegheny County, Pennsylvania",7436,42,003,414102
"Census Tract 4142, Allegheny County, Pennsylvania",5642,42,003,414200
"Census Tract 4150.01, Allegheny County, Pennsylvania",4772,42,003,415001
"Census Tract 4150.02, Allegheny County, Pennsylvania",2515,42,003,415002
"Census Tract 4160, Allegheny County, Pennsylvania",1653,42,003,416000
"Census Tract 4171, Allegheny County, Pennsylvania",2069,42,003,417100
"Census Tract 4172, Allegheny County, Pennsylvania",1319,42,003,417200
"Census Tract 4180, Allegheny County, Pennsylvania",1804,42,003,418000
"Census Tract 4190, Allegheny County, Pennsylvania",3049,42,003,419000
"Census Tract 4200, Allegheny County, Pennsylvania",1670,42,003,420000
"Census Tract 4211, Allegheny County, Pennsylvania",4188,42,003,421100
"Census Tract 4212, Allegheny County, Pennsylvania",4341,42,003,421200
"Census Tract 4220, Allegheny County, Pennsylvania",5392,42,003,422000
"Census Tract 4230, Allegheny County, Pennsylvania",2773,42,003,423000
"Census Tract 4240, Allegheny County, Pennsylvania",3421,42,003,424000
"Census Tract 4250, Allegheny County, Pennsylvania",3415,42,003,425000
"Census Tract 4263, Allegheny County, Pennsylvania",6151,42,003,426300
"Census Tract 4264, Allegheny County, Pennsylvania",4215,42,003,426400
"Census Tract 4267, Allegheny County, Pennsylvania",2265,42,003,426700
"Census Tract 4268, Allegheny County, Pennsylvania",5490,42,003,426800
"Census Tract 4270, Allegheny County, Pennsylvania",3714,42,003,427000
"Census Tract 4271, Allegheny County, Pennsylvania",5489,42,003,427100
"Census Tract 4272, Allegheny County, Pennsylvania",4989,42,003,427200
"Census Tract 4281, Allegheny County, Pennsylvania",1163,42,003,428100
"Census Tract 4282, Allegheny County, Pennsylvania",2144,42,003,428200
"Census Tract 4291, Allegheny County, Pennsylvania",2703,42,003,429100
"Census Tract 4292.01, Allegheny County, Pennsylvania",4357,42,003,429201
"Census Tract 4292.02, Allegheny County, Pennsylvania",4469,42,003,429202
"Census Tract 4293, Allegheny County, Pennsylvania",5372,42,003,429300
"Census Tract 4294, Allegheny County, Pennsylvania",4513,42,003,429400
"Census Tract 4295, Allegheny County, Pennsylvania",4083,42,003,429500
"Census Tract 4296, Allegheny County, Pennsylvania",3077,42,003,429600
"Census Tract 4297, Allegheny County, Pennsylvania",2430,42,003,429700
