0,1,2,3,4
NAME,S0801_C01_046E,state,county,tract
"Census Tract 4110, Allegheny County, Pennsylvania",27.3,42,003,411000
"Census Tract 4120.01, Allegheny County, Pennsylvania",29.5,42,003,412001
"Census Tract 4120.02, Allegheny County, Pennsylvania",27.0,42,003,412002
"Census Tract 4131, Allegheny County, Pennsylvania",26.1,42,003,413100
"Census Tract 4132.01, Allegheny County, Pennsylvania",24.1,42,003,413201
"Census Tract 4132.02, Allegheny County, Pennsylvania",28.2,42,003,413202
"Census Tract 4133, Allegheny County, Pennsylvania",25.8,42,003,413300
"Census Tract 4134, Allegheny County, Pennsylvania",26.5,42,003,413400
"Census Tract 4135, Allegheny County, Pennsylvania",27.4,42,003,413500
"Census Tract 4141.01, Allegheny County, Pennsylvania",28.2,42,003,414101
"Census Tract 4141.02, Allegheny County, Pennsylvania",27.7,42,003,414102
"Census Tract 4142, Allegheny County, Pennsylvania",26.0,42,003,414200
"Census Tract 4150.01, Allegheny County, Pennsylvania",27.2,42,003,415001
"Census Tract 4150.02, Allegheny County, Pennsylvania",26.6,42,003,415002
"Census Tract 4160, Allegheny County, Pennsylvania",25.1,42,003,416000
"Census Tract 4171, Allegheny County, Pennsylvania",27.8,42,003,417100
"Census Tract 4172, Allegheny County, Pennsylvania",27.4,42,003,417200
"Census Tract 4180, Allegheny County, Pennsylvania",26.1,42,003,418000
"Census Tract 4190, Allegheny County, Pennsylvania",24.2,42,003,419000
"Census Tract 4200, Allegheny County, Pennsylvania",25.2,42,003,420000
"Census Tract 4211, Allegheny County, Pennsylvania",23.9,42,003,421100
"Census Tract 4212, Allegheny County, Pennsylvania",25.0,42,003,421200
"Census Tract 4220, Allegheny County, Pennsylvania",25.3,42,003,422000
"Census Tract 4230, Allegheny County, Pennsylvania",24.8,42,003,423000
"Census Tract 4240, Allegheny County, Pennsylvania",22.9,42,003,424000
"Census Tract 4250, Allegheny County, Pennsylvania",22.2,42,003,425000
"Census Tract 4263, Allegheny County, Pennsylvania",27.0,42,003,426300
"Census Tract 4264, Allegheny County, Pennsylvania",24.3,42,003,426400
"Census Tract 4267, Allegheny County, Pennsylvania",22.6,42,003,426700
"Census Tract 4268, Allegheny County, Pennsylvania",26.2,42,003,426800
"Census Tract 4270, Allegheny County, Pennsylvania",25.6,42,003,427000
"Census Tract 4271, Allegheny County, Pennsylvania",25.9,42,003,427100
"Census Tract 4272, Allegheny County, Pennsylvania",23.7,42,003,427200
"Census Tract 4281, Allegheny County, Pennsylvania",21.5,42,003,428100
"Census Tract 4282, Allegheny County, Pennsylvania",21.7,42,003,428200
"Census Tract 4291, Allegheny County, Pennsylvania",23.3,42,003,429100
"Census Tract 4292.01, Allegheny County, Pennsylvania",25.8,42,003,429201
"Census Tract 4292.02, Allegheny County, Pennsylvania",23.4,42,003,429202
"Census Tract 4293, Allegheny County, Pennsylvania",25.4,42,003,429300
"Census Tract 4294, Allegheny County, Pennsylvania",24.9,42,003,429400
"Census Tract 4295, Allegheny County, Pennsylvania",25.2,42,003,429500
"Census Tract 4296, Allegheny County, Pennsylvania",26.0,42,003,429600
"Census Tract 4297, Allegheny County, Pennsylvania",23.2,42,003,429700
"Census Tract 4301, Allegheny County, Pennsylvania",21.8,42,003,430100
"Census Tract 4302, Allegheny County, Pennsylvania",23.2,42,003,430200
"Census Tract 4311, Allegheny County, Pennsylvania",28.2,42,003,431100
"Census Tract 4314, Allegheny County, Pennsylvania",25.9,42,003,431400
"Census Tract 4315, Allegheny County, Pennsylvania",25.8,42,003,431500
"Census Tract 4323, Allegheny County, Pennsylvania",27.6,42,003,432300
"Census Tract 4324, Allegheny County, Pennsylvania",25.3,42,003,432400
"Census Tract 4340, Allegheny County, Pennsylvania",26.8,42,003,434000
"Census Tract 4350, Allegheny County, Pennsylvania",26.0,42,003,435000
"Census Tract 4370, Allegheny County, Pennsylvania",26.1,42,003,437000
"Census Tract 4390, Allegheny County, Pennsylvania",28.2,42,003,439000
"Census Tract 4455, Allegheny County, Pennsylvania",25.1,42,003,445500
"Census Tract 4460, Allegheny County, Pennsylvania",24.2,42,003,446000
"Census Tract 4470, Allegheny County, Pennsylvania",27.8,42,003,447000
"Census Tract 4480, Allegheny County, Pennsylvania",30.5,42,003,448000
"Census Tract 4490, Allegheny County, Pennsylvania",26.7,42,003,449000
"Census Tract 4507, Allegheny County, Pennsylvania",21.9,42,003,450700
"Census Tract 4508, Allegheny County, Pennsylvania",23.4,42,003,450800
"Census Tract 4511.01, Allegheny County, Pennsylvania",22.5,42,003,451101
"Census Tract 4511.02, Allegheny County, Pennsylvania",25.4,42,003,451102
"Census Tract 4511.04, Allegheny County, Pennsylvania",28.0,42,003,451104
"Census Tract 4511.05, Allegheny County, Pennsylvania",26.6,42,003,451105
"Census Tract 4513, Allegheny County, Pennsylvania",22.3,42,003,451300
"Census Tract 4520, Allegheny County, Pennsylvania",24.7,42,003,452000
"Census Tract 4530.03, Allegheny County, Pennsylvania",23.7,42,003,453003
"Census Tract 4530.04, Allegheny County, Pennsylvania",24.7,42,003,453004
"Census Tract 4550, Allegheny County, Pennsylvania",23.7,42,003,455000
"Census Tract 4560.01, Allegheny County, Pennsylvania",24.2,42,003,456001
"Census Tract 4560.03, Allegheny County, Pennsylvania",30.2,42,003,456003
"Census Tract 4560.04, Allegheny County, Pennsylvania",23.5,42,003,456004
"Census Tract 4571, Allegheny County, Pennsylvania",23.5,42,003,457100
"Census Tract 4572, Allegheny County, Pennsylvania",23.0,42,003,457200
"Census Tract 4580, Allegheny County, Pennsylvania",27.3,42,003,458000
"Census Tract 4591.01, Allegheny County, Pennsylvania",23.5,42,003,459101
"Census Tract 4591.02, Allegheny County, Pennsylvania",24.0,42,003,459102
"Census Tract 4592.01, Allegheny County, Pennsylvania",25.8,42,003,459201
"Census Tract 4592.02, Allegheny County, Pennsylvania",24.3,42,003,459202
"Census Tract 4600.01, Allegheny County, Pennsylvania",26.6,42,003,460001
"Census Tract 4600.02, Allegheny County, Pennsylvania",24.9,42,003,460002
"Census Tract 4610, Allegheny County, Pennsylvania",20.2,42,003,461000
"Census Tract 4621, Allegheny County, Pennsylvania",20.8,42,003,462100
"Census Tract 4626, Allegheny County, Pennsylvania",29.4,42,003,462600
"Census Tract 4639, Allegheny County, Pennsylvania",20.8,42,003,463900
"Census Tract 4643, Allegheny County, Pennsylvania",24.9,42,003,464300
"Census Tract 4644, Allegheny County, Pennsylvania",25.8,42,003,464400
"Census Tract 4656, Allegheny County, Pennsylvania",24.0,42,003,465600
"Census Tract 4658, Allegheny County, Pennsylvania",29.2,42,003,465800
"Census Tract 4687, Allegheny County, Pennsylvania",23.5,42,003,468700
"Census Tract 4688, Allegheny County, Pennsylvania",25.0,42,003,468800
"Census Tract 4689, Allegheny County, Pennsylvania",23.9,42,003,468900
"Census Tract 4690, Allegheny County, Pennsylvania",24.3,42,003,469000
"Census Tract 4703, Allegheny County, Pennsylvania",24.9,42,003,470300
"Census Tract 4704, Allegheny County, Pennsylvania",24.4,42,003,470400
"Census Tract 4705.01, Allegheny County, Pennsylvania",28.2,42,003,470501
"Census Tract 4705.02, Allegheny County, Pennsylvania",28.9,42,003,470502
"Census Tract 4706, Allegheny County, Pennsylvania",25.7,42,003,470600
"Census Tract 4710, Allegheny County, Pennsylvania",24.6,42,003,471000
"Census Tract 4721, Allegheny County, Pennsylvania",26.9,42,003,472100
"Census Tract 4722, Allegheny County, Pennsylvania",29.4,42,003,472200
"Census Tract 4723, Allegheny County, Pennsylvania",27.2,42,003,472300
"Census Tract 4724, Allegheny County, Pennsylvania",26.5,42,003,472400
"Census Tract 4731, Allegheny County, Pennsylvania",25.1,42,003,473100
"Census Tract 4732, Allegheny County, Pennsylvania",26.7,42,003,473200
"Census Tract 4733, Allegheny County, Pennsylvania",26.8,42,003,473300
"Census Tract 4734.01, Allegheny County, Pennsylvania",28.4,42,003,473401
"Census Tract 4734.02, Allegheny County, Pennsylvania",26.5,42,003,473402
"Census Tract 4735, Allegheny County, Pennsylvania",30.5,42,003,473500
"Census Tract 4736.01, Allegheny County, Pennsylvania",26.2,42,003,473601
"Census Tract 4736.02, Allegheny County, Pennsylvania",29.6,42,003,473602
"Census Tract 4741.01, Allegheny County, Pennsylvania",29.4,42,003,474101
"Census Tract 4741.02, Allegheny County, Pennsylvania",31.9,42,003,474102
"Census Tract 4742.01, Allegheny County, Pennsylvania",31.0,42,003,474201
"Census Tract 4742.02, Allegheny County, Pennsylvania",30.3,42,003,474202
"Census Tract 4742.03, Allegheny County, Pennsylvania",33.1,42,003,474203
"Census Tract 4751.01, Allegheny County, Pennsylvania",28.1,42,003,475101
"Census Tract 4751.02, Allegheny County, Pennsylvania",30.0,42,003,475102
"Census Tract 4752, Allegheny County, Pennsylvania",30.8,42,003,475200
"Census Tract 4753.01, Allegheny County, Pennsylvania",30.0,42,003,475301
"Census Tract 4753.03, Allegheny County, Pennsylvania",33.7,42,003,475303
"Census Tract 4753.04, Allegheny County, Pennsylvania",30.7,42,003,475304
"Census Tract 4754.01, Allegheny County, Pennsylvania",34.0,42,003,475401
"Census Tract 4754.02, Allegheny County, Pennsylvania",36.2,42,003,475402
"Census Tract 4761, Allegheny County, Pennsylvania",33.0,42,003,476100
"Census Tract 4762, Allegheny County, Pennsylvania",26.8,42,003,476200
"Census Tract 4771, Allegheny County, Pennsylvania",30.3,42,003,477100
"Census Tract 4772, Allegheny County, Pennsylvania",30.9,42,003,477200
"Census Tract 4773, Allegheny County, Pennsylvania",31.6,42,003,477300
"Census Tract 4781, Allegheny County, Pennsylvania",32.5,42,003,478100
"Census Tract 4782, Allegheny County, Pennsylvania",30.8,42,003,478200
"Census Tract 4790, Allegheny County, Pennsylvania",25.8,42,003,479000
"Census Tract 4801.01, Allegheny County, Pennsylvania",31.2,42,003,480101
"Census Tract 4801.02, Allegheny County, Pennsylvania",29.1,42,003,480102
"Census Tract 4802, Allegheny County, Pennsylvania",25.9,42,003,480200
"Census Tract 4803, Allegheny County, Pennsylvania",32.3,42,003,480300
"Census Tract 4804, Allegheny County, Pennsylvania",27.6,42,003,480400
"Census Tract 4810, Allegheny County, Pennsylvania",29.7,42,003,481000
"Census Tract 4825, Allegheny County, Pennsylvania",25.5,42,003,482500
"Census Tract 4838, Allegheny County, Pennsylvania",28.2,42,003,483800
"Census Tract 4843, Allegheny County, Pennsylvania",25.2,42,003,484300
"Census Tract 4845, Allegheny County, Pennsylvania",24.9,42,003,484500
"Census Tract 4846, Allegheny County, Pennsylvania",26.4,42,003,484600
"Census Tract 4850, Allegheny County, Pennsylvania",26.3,42,003,485000
"Census Tract 4867, Allegheny County, Pennsylvania",32.1,42,003,486700
"Census Tract 4868, Allegheny County, Pennsylvania",25.0,42,003,486800
"Census Tract 4869, Allegheny County, Pennsylvania",25.0,42,003,486900
"Census Tract 4870, Allegheny County, Pennsylvania",25.8,42,003,487000
"Census Tract 4881, Allegheny County, Pennsylvania",29.3,42,003,488100
"Census Tract 4882, Allegheny County, Pennsylvania",28.3,42,003,488200
"Census Tract 4883, Allegheny County, Pennsylvania",29.3,42,003,488300
"Census Tract 4884, Allegheny County, Pennsylvania",27.8,42,003,488400
"Census Tract 4885, Allegheny County, Pennsylvania",26.6,42,003,488500
"Census Tract 4886, Allegheny County, Pennsylvania",27.9,42,003,488600
"Census Tract 4890.01, Allegheny County, Pennsylvania",34.3,42,003,489001
"Census Tract 4890.02, Allegheny County, Pennsylvania",30.0,42,003,489002
"Census Tract 4900.02, Allegheny County, Pennsylvania",26.4,42,003,490002
"Census Tract 4900.03, Allegheny County, Pennsylvania",31.7,42,003,490003
"Census Tract 4900.04, Allegheny County, Pennsylvania",33.7,42,003,490004
"Census Tract 4911.01, Allegheny County, Pennsylvania",33.4,42,003,491101
"Census Tract 4912, Allegheny County, Pennsylvania",25.1,42,003,491200
"Census Tract 4927, Allegheny County, Pennsylvania",29.2,42,003,492700
"Census Tract 4928, Allegheny County, Pennsylvania",31.7,42,003,492800
"Census Tract 4929, Allegheny County, Pennsylvania",30.5,42,003,492900
"Census Tract 4940, Allegheny County, Pennsylvania",27.3,42,003,494000
"Census Tract 4950, Allegheny County, Pennsylvania",29.1,42,003,495000
"Census Tract 4961.01, Allegheny County, Pennsylvania",31.3,42,003,496101
"Census Tract 4961.02, Allegheny County, Pennsylvania",32.3,42,003,496102
"Census Tract 4962, Allegheny County, Pennsylvania",27.8,42,003,496200
"Census Tract 4970, Allegheny County, Pennsylvania",26.3,42,003,497000
"Census Tract 4980, Allegheny County, Pennsylvania",28.4,42,003,498000
"Census Tract 4993, Allegheny County, Pennsylvania",24.8,42,003,499300
"Census Tract 4994, Allegheny County, Pennsylvania",23.5,42,003,499400
"Census Tract 5003, Allegheny County, Pennsylvania",28.8,42,003,500300
"Census Tract 5010, Allegheny County, Pennsylvania",26.9,42,003,501000
"Census Tract 5030.02, Allegheny County, Pennsylvania",26.4,42,003,503002
"Census Tract 5041, Allegheny County, Pennsylvania",29.2,42,003,504100
