0,1,2,3,4
"Census Tract 4314, Allegheny County, Pennsylvania",927,42,003,431400
"Census Tract 4315, Allegheny County, Pennsylvania",1433,42,003,431500
"Census Tract 4323, Allegheny County, Pennsylvania",873,42,003,432300
"Census Tract 4324, Allegheny County, Pennsylvania",1144,42,003,432400
"Census Tract 4340, Allegheny County, Pennsylvania",814,42,003,434000
"Census Tract 4350, Allegheny County, Pennsylvania",1255,42,003,435000
"Census Tract 4370, Allegheny County, Pennsylvania",2974,42,003,437000
"Census Tract 4390, Allegheny County, Pennsylvania",726,42,003,439000
"Census Tract 4455, Allegheny County, Pennsylvania",1843,42,003,445500
"Census Tract 4460, Allegheny County, Pennsylvania",742,42,003,446000
"Census Tract 4470, Allegheny County, Pennsylvania",764,42,003,447000
"Census Tract 4480, Allegheny County, Pennsylvania",615,42,003,448000
"Census Tract 4490, Allegheny County, Pennsylvania",1243,42,003,449000
"Census Tract 4507, Allegheny County, Pennsylvania",1519,42,003,450700
"Census Tract 4508, Allegheny County, Pennsylvania",1220,42,003,450800
"Census Tract 4511.01, Allegheny County, Pennsylvania",1839,42,003,451101
"Census Tract 4511.02, Allegheny County, Pennsylvania",2902,42,003,451102
"Census Tract 4511.04, Allegheny County, Pennsylvania",1748,42,003,451104
"Census Tract 4511.05, Allegheny County, Pennsylvania",2711,42,003,451105
"Census Tract 4513, Allegheny County, Pennsylvania",3621,42,003,451300
"Census Tract 4520, Allegheny County, Pennsylvania",2545,42,003,452000
"Census Tract 4530.03, Allegheny County, Pennsylvania",870,42,003,453003
"Census Tract 4530.04, Allegheny County, Pennsylvania",3476,42,003,453004
"Census Tract 4550, Allegheny County, Pennsylvania",765,42,003,455000
"Census Tract 4560.01, Allegheny County, Pennsylvania",1656,42,003,456001
"Census Tract 4560.03, Allegheny County, Pennsylvania",3318,42,003,456003
"Census Tract 4560.04, Allegheny County, Pennsylvania",2167,42,003,456004
"Census Tract 4571, Allegheny County, Pennsylvania",715,42,003,457100
"Census Tract 4572, Allegheny County, Pennsylvania",1694,42,003,457200
"Census Tract 4580, Allegheny County, Pennsylvania",3966,42,003,458000
"Census Tract 4591.01, Allegheny County, Pennsylvania",821,42,003,459101
"Census Tract 4591.02, Allegheny County, Pennsylvania",2839,42,003,459102
"Census Tract 4592.01, Allegheny County, Pennsylvania",3102,42,003,459201
"Census Tract 4592.02, Allegheny County, Pennsylvania",308,42,003,459202
"Census Tract 4600.01, Allegheny County, Pennsylvania",2187,42,003,460001
"Census Tract 4600.02, Allegheny County, Pennsylvania",1637,42,003,460002
"Census Tract 4610, Allegheny County, Pennsylvania",602,42,003,461000
"Census Tract 4621, Allegheny County, Pennsylvania",1329,42,003,462100
"Census Tract 4626, Allegheny County, Pennsylvania",1691,42,003,462600
"Census Tract 4639, Allegheny County, Pennsylvania",1299,42,003,463900
"Census Tract 4643, Allegheny County, Pennsylvania",1721,42,003,464300
"Census Tract 4644, Allegheny County, Pennsylvania",1673,42,003,464400
"Census Tract 4656, Allegheny County, Pennsylvania",1180,42,003,465600
"Census Tract 4658, Allegheny County, Pennsylvania",1685,42,003,465800
"Census Tract 4687, Allegheny County, Pennsylvania",865,42,003,468700
"Census Tract 4688, Allegheny County, Pennsylvania",1217,42,003,468800
"Census Tract 4689, Allegheny County, Pennsylvania",1856,42,003,468900
"Census Tract 4690, Allegheny County, Pennsylvania",2097,42,003,469000
"Census Tract 4703, Allegheny County, Pennsylvania",1713,42,003,470300
"Census Tract 4704, Allegheny County, Pennsylvania",1414,42,003,470400
"Census Tract 4705.01, Allegheny County, Pennsylvania",1938,42,003,470501
"Census Tract 4705.02, Allegheny County, Pennsylvania",1417,42,003,470502
"Census Tract 4706, Allegheny County, Pennsylvania",1620,42,003,470600
"Census Tract 4710, Allegheny County, Pennsylvania",621,42,003,471000
"Census Tract 4721, Allegheny County, Pennsylvania",1163,42,003,472100
"Census Tract 4722, Allegheny County, Pennsylvania",1117,42,003,472200
"Census Tract 4723, Allegheny County, Pennsylvania",936,42,003,472300
"Census Tract 4724, Allegheny County, Pennsylvania",861,42,003,472400
"Census Tract 4731, Allegheny County, Pennsylvania",2338,42,003,473100
"Census Tract 4732, Allegheny County, Pennsylvania",1397,42,003,473200
"Census Tract 4733, Allegheny County, Pennsylvania",2530,42,003,473300
"Census Tract 4734.01, Allegheny County, Pennsylvania",1784,42,003,473401
"Census Tract 4734.02, Allegheny County, Pennsylvania",1792,42,003,473402
"Census Tract 4735, Allegheny County, Pennsylvania",1985,42,003,473500
"Census Tract 4736.01, Allegheny County, Pennsylvania",1740,42,003,473601
"Census Tract 4736.02, Allegheny County, Pennsylvania",2179,42,003,473602
"Census Tract 4741.01, Allegheny County, Pennsylvania",1828,42,003,474101
"Census Tract 4741.02, Allegheny County, Pennsylvania",1737,42,003,474102
"Census Tract 4742.01, Allegheny County, Pennsylvania",1204,42,003,474201
"Census Tract 4742.02, Allegheny County, Pennsylvania",2543,42,003,474202
"Census Tract 4742.03, Allegheny County, Pennsylvania",2326,42,003,474203
"Census Tract 4751.01, Allegheny County, Pennsylvania",2193,42,003,475101
"Census Tract 4751.02, Allegheny County, Pennsylvania",746,42,003,475102
"Census Tract 4752, Allegheny County, Pennsylvania",2272,42,003,475200
"Census Tract 4753.01, Allegheny County, Pennsylvania",2326,42,003,475301
"Census Tract 4753.03, Allegheny County, Pennsylvania",1909,42,003,475303
"Census Tract 4753.04, Allegheny County, Pennsylvania",2604,42,003,475304
"Census Tract 4754.01, Allegheny County, Pennsylvania",1862,42,003,475401
"Census Tract 4754.02, Allegheny County, Pennsylvania",1491,42,003,475402
"Census Tract 4761, Allegheny County, Pennsylvania",2532,42,003,476100
"Census Tract 4762, Allegheny County, Pennsylvania",1652,42,003,476200
"Census Tract 4771, Allegheny County, Pennsylvania",1504,42,003,477100
"Census Tract 4772, Allegheny County, Pennsylvania",1917,42,003,477200
"Census Tract 4773, Allegheny County, Pennsylvania",2949,42,003,477300
"Census Tract 4781, Allegheny County, Pennsylvania",1956,42,003,478100
"Census Tract 4782, Allegheny County, Pennsylvania",2584,42,003,478200
"Census Tract 4790, Allegheny County, Pennsylvania",1010,42,003,479000
"Census Tract 4801.01, Allegheny County, Pennsylvania",2417,42,003,480101
"Census Tract 4801.02, Allegheny County, Pennsylvania",1601,42,003,480102
"Census Tract 4802, Allegheny County, Pennsylvania",1508,42,003,480200
"Census Tract 4803, Allegheny County, Pennsylvania",1731,42,003,480300
"Census Tract 4804, Allegheny County, Pennsylvania",2250,42,003,480400
"Census Tract 4810, Allegheny County, Pennsylvania",1554,42,003,481000
"Census Tract 4825, Allegheny County, Pennsylvania",770,42,003,482500
"Census Tract 4838, Allegheny County, Pennsylvania",1438,42,003,483800
"Census Tract 4843, Allegheny County, Pennsylvania",1755,42,003,484300
"Census Tract 4845, Allegheny County, Pennsylvania",2796,42,003,484500
"Census Tract 4846, Allegheny County, Pennsylvania",868,42,003,484600
"Census Tract 4850, Allegheny County, Pennsylvania",633,42,003,485000
"Census Tract 4867, Allegheny County, Pennsylvania",1010,42,003,486700
"Census Tract 4868, Allegheny County, Pennsylvania",933,42,003,486800
"Census Tract 4869, Allegheny County, Pennsylvania",664,42,003,486900
"Census Tract 4870, Allegheny County, Pennsylvania",808,42,003,487000
"Census Tract 4881, Allegheny County, Pennsylvania",1220,42,003,488100
"Census Tract 4882, Allegheny County, Pennsylvania",1595,42,003,488200
"Census Tract 4883, Allegheny County, Pennsylvania",1001,42,003,488300
"Census Tract 4884, Allegheny County, Pennsylvania",1966,42,003,488400
"Census Tract 4885, Allegheny County, Pennsylvania",1359,42,003,488500
"Census Tract 4886, Allegheny County, Pennsylvania",2275,42,003,488600
"Census Tract 4890.01, Allegheny County, Pennsylvania",2069,42,003,489001
"Census Tract 4890.02, Allegheny County, Pennsylvania",1807,42,003,489002
"Census Tract 4900.02, Allegheny County, Pennsylvania",2288,42,003,490002
"Census Tract 4900.03, Allegheny County, Pennsylvania",1960,42,003,490003
"Census Tract 4900.04, Allegheny County, Pennsylvania",2456,42,003,490004
"Census Tract 4911.01, Allegheny County, Pennsylvania",3352,42,003,491101
"Census Tract 4912, Allegheny County, Pennsylvania",900,42,003,491200
"Census Tract 4927, Allegheny County, Pennsylvania",1057,42,003,492700
"Census Tract 4928, Allegheny County, Pennsylvania",1089,42,003,492800
"Census Tract 4929, Allegheny County, Pennsylvania",1060,42,003,492900
"Census Tract 4940, Allegheny County, Pennsylvania",664,42,003,494000
"Census Tract 4950, Allegheny County, Pennsylvania",1679,42,003,495000
"Census Tract 4961.01, Allegheny County, Pennsylvania",1578,42,003,496101
"Census Tract 4961.02, Allegheny County, Pennsylvania",2115,42,003,496102
"Census Tract 4962, Allegheny County, Pennsylvania",2489,42,003,496200
"Census Tract 4970, Allegheny County, Pennsylvania",572,42,003,497000
"Census Tract 4980, Allegheny County, Pennsylvania",1212,42,003,498000
"Census Tract 4993, Allegheny County, Pennsylvania",750,42,003,499300
"Census Tract 4994, Allegheny County, Pennsylvania",1401,42,003,499400
"Census Tract 5003, Allegheny County, Pennsylvania",1759,42,003,500300
"Census Tract 5010, Allegheny County, Pennsylvania",739,42,003,501000
"Census Tract 5030.02, Allegheny County, Pennsylvania",2718,42,003,503002
"Census Tract 5041, Allegheny County, Pennsylvania",2440,42,003,504100
"Census Tract 5070, Allegheny County, Pennsylvania",1024,42,003,507000
"Census Tract 5080, Allegheny County, Pennsylvania",734,42,003,508000
"Census Tract 5094, Allegheny County, Pennsylvania",2355,42,003,509400
"Census Tract 5100, Allegheny County, Pennsylvania",846,42,003,510000
"Census Tract 5120, Allegheny County, Pennsylvania",1166,42,003,512000
"Census Tract 5128, Allegheny County, Pennsylvania",642,42,003,512800
"Census Tract 5129, Allegheny County, Pennsylvania",476,42,003,512900
"Census Tract 5138, Allegheny County, Pennsylvania",858,42,003,513800
"Census Tract 5140, Allegheny County, Pennsylvania",986,42,003,514000
"Census Tract 5151, Allegheny County, Pennsylvania",1163,42,003,515100
"Census Tract 5152, Allegheny County, Pennsylvania",1008,42,003,515200
"Census Tract 5153, Allegheny County, Pennsylvania",783,42,003,515300
"Census Tract 5154.01, Allegheny County, Pennsylvania",1012,42,003,515401
"Census Tract 5161, Allegheny County, Pennsylvania",657,42,003,516100
"Census Tract 5162, Allegheny County, Pennsylvania",798,42,003,516200
"Census Tract 5170, Allegheny County, Pennsylvania",847,42,003,517000
"Census Tract 5180.01, Allegheny County, Pennsylvania",1505,42,003,518001
"Census Tract 5190, Allegheny County, Pennsylvania",1375,42,003,519000
"Census Tract 5200.01, Allegheny County, Pennsylvania",1536,42,003,520001
"Census Tract 5200.02, Allegheny County, Pennsylvania",1623,42,003,520002
"Census Tract 5211, Allegheny County, Pennsylvania",2296,42,003,521100
"Census Tract 5212, Allegheny County, Pennsylvania",2186,42,003,521200
"Census Tract 5213.01, Allegheny County, Pennsylvania",1705,42,003,521301
"Census Tract 5213.02, Allegheny County, Pennsylvania",2153,42,003,521302
