tract,male_female_ratio,total_pop,median_age,median_income,mean_travel_time
521100,1.02,4548,42.6,72829,27.6
521200,1.03,4317,37.9,59712,26.9
521301,0.67,4258,44.2,36150,27.8
521302,0.96,4394,41.8,48794,26.3
521401,0.94,2773,49.4,55950,30.6
521402,1.06,3828,49.2,96897,32.7
521500,0.94,4213,48.8,61473,29
522000,0.84,3259,37.6,30902,32
523100,0.67,3793,46.6,45383,29.8
523200,0.75,4091,35.8,41282,33.4
523300,0.83,4074,45.2,51250,29.2
523400,0.74,4846,43.9,50337,30
523501,0.97,4733,44.6,50679,31.2
523502,0.70,1479,43.8,33056,23.2
523600,0.88,4879,47.8,66996,26.2
523701,0.99,4195,47.1,53867,31.3
523702,0.82,5123,44.6,44347,32.3
523800,0.98,4860,50.7,51728,29.6
524000,1.00,2590,41.7,37857,23.3
525100,0.77,1972,49.1,79926,23.8
525200,0.78,2254,50.4,50288,29.9
525300,0.84,2194,46,62460,25.3
526101,0.91,7063,48.8,90256,32.2
526102,0.94,2159,44,61818,26.2
526201,0.87,3719,46.1,71296,28.1
526202,0.98,4676,44.2,67557,26.5
526301,0.96,4525,42.8,68787,31.2
526302,0.91,5332,39.6,64647,29
550900,1.05,1725,42.5,20222,30
551200,0.70,3597,38.8,21441,23.2
551300,0.91,2638,53.1,50700,29.3
551900,0.76,1622,43.8,13353,38.3
552000,1.04,2602,35.7,36144,32.9
552100,0.76,1490,50.9,15137,18.8
552200,0.80,846,53.2,24688,29.1
552300,0.91,2205,37.4,22659,23.8
552400,0.84,2804,43.6,38750,26.9
560400,0.83,1737,38.6,29971,24.7
560500,0.73,2353,36.1,53059,25.1
560600,0.83,1005,35.3,25750,26
561000,1.14,1424,29.1,31585,28.5
561100,0.83,867,36.8,20262,34.6
561200,0.85,1329,34.8,32054,21
561400,0.70,4171,44.5,34147,30.7
561500,0.75,2911,50.3,29091,31.2
561600,0.87,2131,32,37586,27.4
561700,0.91,890,32,37000,31.9
561900,1.05,2581,48.4,27308,29.5
562000,0.98,2705,27.7,19483,19.2
562300,0.82,3831,40.5,14263,26.6
562400,1.05,2741,49.2,38750,27
562500,1.07,2996,35.3,29375,25
562600,1.01,2617,32.8,32869,21.8
562700,1.23,1758,31.1,37386,24
562800,0.90,1647,36.8,42946,21.7
562900,1.05,1908,41.1,36750,27
563000,0.85,3116,35.3,61318,25.8
563100,0.85,3938,36.4,53184,25.4
563200,1.37,2160,44.3,30394,22.7
563300,0.95,1401,47.5,153750,29.5
563800,0.80,3616,54.8,74345,24.4
563900,0.84,3979,45.5,51555,29.1
564000,1.07,5949,41.1,64505,24.5
564100,0.90,914,49,131875,27.9
564200,0.88,2212,53.2,57857,29.5
564400,1.07,5508,46.9,44298,30.8
564500,0.97,2984,45,64456,30.5
980000,1.14,257,31.9,101917,30.3
980100,0.00,26,45.5,0,0
980300,0.00,0,0,0,0
980400,0.00,0,0,0,0
980500,3.25,17,68.9,0,0
980600,0.00,4,0,0,0
980700,0.56,14,25.6,0,0
980800,0.00,0,0,0,0
980900,0.00,1931,36.2,0,0
981000,0.00,0,0,0,0
981100,0.00,5,0,0,0
981200,0.00,0,0,0,0
981800,0.89,297,19.7,18750,0
982200,0.70,4742,19.3,16250,12.1
