"","NAME","state","county","tract","B05004_001E"
"173","Census Tract 4324, Allegheny County, Pennsylvania","42","003","432400",38
"174","Census Tract 4340, Allegheny County, Pennsylvania","42","003","434000",40
"175","Census Tract 4350, Allegheny County, Pennsylvania","42","003","435000",38.7
"176","Census Tract 4370, Allegheny County, Pennsylvania","42","003","437000",36.5
"177","Census Tract 4390, Allegheny County, Pennsylvania","42","003","439000",46.8
"178","Census Tract 4455, Allegheny County, Pennsylvania","42","003","445500",42.6
"179","Census Tract 4460, Allegheny County, Pennsylvania","42","003","446000",45.2
"180","Census Tract 4470, Allegheny County, Pennsylvania","42","003","447000",43.3
"181","Census Tract 4480, Allegheny County, Pennsylvania","42","003","448000",42.2
"182","Census Tract 4490, Allegheny County, Pennsylvania","42","003","449000",45
"183","Census Tract 4507, Allegheny County, Pennsylvania","42","003","450700",39.7
"184","Census Tract 4508, Allegheny County, Pennsylvania","42","003","450800",48.6
"185","Census Tract 4511.01, Allegheny County, Pennsylvania","42","003","451101",42.7
"186","Census Tract 4511.02, Allegheny County, Pennsylvania","42","003","451102",30.8
"187","Census Tract 4511.04, Allegheny County, Pennsylvania","42","003","451104",40.9
"188","Census Tract 4511.05, Allegheny County, Pennsylvania","42","003","451105",32.2
"189","Census Tract 4513, Allegheny County, Pennsylvania","42","003","451300",44.5
"190","Census Tract 4520, Allegheny County, Pennsylvania","42","003","452000",41.3
"191","Census Tract 4530.03, Allegheny County, Pennsylvania","42","003","453003",44.3
"192","Census Tract 4530.04, Allegheny County, Pennsylvania","42","003","453004",37.5
"193","Census Tract 4550, Allegheny County, Pennsylvania","42","003","455000",47.1
"194","Census Tract 4560.01, Allegheny County, Pennsylvania","42","003","456001",41.4
"195","Census Tract 4560.03, Allegheny County, Pennsylvania","42","003","456003",38.1
"196","Census Tract 4560.04, Allegheny County, Pennsylvania","42","003","456004",47
"197","Census Tract 4571, Allegheny County, Pennsylvania","42","003","457100",43
"198","Census Tract 4572, Allegheny County, Pennsylvania","42","003","457200",46.4
"199","Census Tract 4580, Allegheny County, Pennsylvania","42","003","458000",49.9
"200","Census Tract 4591.01, Allegheny County, Pennsylvania","42","003","459101",44.5
"201","Census Tract 4591.02, Allegheny County, Pennsylvania","42","003","459102",47.6
"202","Census Tract 4592.01, Allegheny County, Pennsylvania","42","003","459201",40.8
"203","Census Tract 4592.02, Allegheny County, Pennsylvania","42","003","459202",36.9
"204","Census Tract 4600.01, Allegheny County, Pennsylvania","42","003","460001",48.8
"205","Census Tract 4600.02, Allegheny County, Pennsylvania","42","003","460002",49.7
"206","Census Tract 4610, Allegheny County, Pennsylvania","42","003","461000",47.1
"207","Census Tract 4621, Allegheny County, Pennsylvania","42","003","462100",40.5
"208","Census Tract 4626, Allegheny County, Pennsylvania","42","003","462600",36.3
"209","Census Tract 4639, Allegheny County, Pennsylvania","42","003","463900",40.7
"210","Census Tract 4643, Allegheny County, Pennsylvania","42","003","464300",41.9
"211","Census Tract 4644, Allegheny County, Pennsylvania","42","003","464400",32.5
"212","Census Tract 4656, Allegheny County, Pennsylvania","42","003","465600",38.3
"213","Census Tract 4658, Allegheny County, Pennsylvania","42","003","465800",41.1
"214","Census Tract 4687, Allegheny County, Pennsylvania","42","003","468700",47.3
"215","Census Tract 4688, Allegheny County, Pennsylvania","42","003","468800",34.6
"216","Census Tract 4689, Allegheny County, Pennsylvania","42","003","468900",33.6
"217","Census Tract 4690, Allegheny County, Pennsylvania","42","003","469000",47.3
"218","Census Tract 4703, Allegheny County, Pennsylvania","42","003","470300",51.7
"219","Census Tract 4704, Allegheny County, Pennsylvania","42","003","470400",50.7
"220","Census Tract 4705.01, Allegheny County, Pennsylvania","42","003","470501",33.8
"221","Census Tract 4705.02, Allegheny County, Pennsylvania","42","003","470502",50.7
"222","Census Tract 4706, Allegheny County, Pennsylvania","42","003","470600",37.8
"223","Census Tract 4710, Allegheny County, Pennsylvania","42","003","471000",42.7
"224","Census Tract 4721, Allegheny County, Pennsylvania","42","003","472100",37.9
"225","Census Tract 4722, Allegheny County, Pennsylvania","42","003","472200",34.5
"226","Census Tract 4723, Allegheny County, Pennsylvania","42","003","472300",34.4
"227","Census Tract 4724, Allegheny County, Pennsylvania","42","003","472400",39.1
"228","Census Tract 4731, Allegheny County, Pennsylvania","42","003","473100",40.5
"229","Census Tract 4732, Allegheny County, Pennsylvania","42","003","473200",44.9
"230","Census Tract 4733, Allegheny County, Pennsylvania","42","003","473300",44.3
"231","Census Tract 4734.01, Allegheny County, Pennsylvania","42","003","473401",40.5
"232","Census Tract 4734.02, Allegheny County, Pennsylvania","42","003","473402",44.4
"233","Census Tract 4735, Allegheny County, Pennsylvania","42","003","473500",43
"234","Census Tract 4736.01, Allegheny County, Pennsylvania","42","003","473601",46.6
"235","Census Tract 4736.02, Allegheny County, Pennsylvania","42","003","473602",51.5
"236","Census Tract 4741.01, Allegheny County, Pennsylvania","42","003","474101",42.8
"237","Census Tract 4741.02, Allegheny County, Pennsylvania","42","003","474102",42.4
"238","Census Tract 4742.01, Allegheny County, Pennsylvania","42","003","474201",47.2
"239","Census Tract 4742.02, Allegheny County, Pennsylvania","42","003","474202",45.6
"240","Census Tract 4742.03, Allegheny County, Pennsylvania","42","003","474203",42.5
"241","Census Tract 4751.01, Allegheny County, Pennsylvania","42","003","475101",49
"242","Census Tract 4751.02, Allegheny County, Pennsylvania","42","003","475102",46.6
"243","Census Tract 4752, Allegheny County, Pennsylvania","42","003","475200",44.4
"244","Census Tract 4753.01, Allegheny County, Pennsylvania","42","003","475301",45.3
"245","Census Tract 4753.03, Allegheny County, Pennsylvania","42","003","475303",47.5
"246","Census Tract 4753.04, Allegheny County, Pennsylvania","42","003","475304",45
"247","Census Tract 4754.01, Allegheny County, Pennsylvania","42","003","475401",46.3
"248","Census Tract 4754.02, Allegheny County, Pennsylvania","42","003","475402",45.3
"249","Census Tract 4761, Allegheny County, Pennsylvania","42","003","476100",39
"250","Census Tract 4762, Allegheny County, Pennsylvania","42","003","476200",43.9
"251","Census Tract 4771, Allegheny County, Pennsylvania","42","003","477100",47.2
"252","Census Tract 4772, Allegheny County, Pennsylvania","42","003","477200",52.1
"253","Census Tract 4773, Allegheny County, Pennsylvania","42","003","477300",41
