"","NAME","state","county","tract","B19013_001E"
"127","Census Tract 4131, Allegheny County, Pennsylvania","42","003","413100",104085
"128","Census Tract 4132.01, Allegheny County, Pennsylvania","42","003","413201",73750
"129","Census Tract 4132.02, Allegheny County, Pennsylvania","42","003","413202",71000
"130","Census Tract 4133, Allegheny County, Pennsylvania","42","003","413300",76932
"131","Census Tract 4134, Allegheny County, Pennsylvania","42","003","413400",88173
"132","Census Tract 4135, Allegheny County, Pennsylvania","42","003","413500",61416
"133","Census Tract 4141.01, Allegheny County, Pennsylvania","42","003","414101",89698
"134","Census Tract 4141.02, Allegheny County, Pennsylvania","42","003","414102",84184
"135","Census Tract 4142, Allegheny County, Pennsylvania","42","003","414200",73043
"136","Census Tract 4150.01, Allegheny County, Pennsylvania","42","003","415001",87596
"137","Census Tract 4150.02, Allegheny County, Pennsylvania","42","003","415002",92250
"138","Census Tract 4160, Allegheny County, Pennsylvania","42","003","416000",48750
"139","Census Tract 4171, Allegheny County, Pennsylvania","42","003","417100",53365
"140","Census Tract 4172, Allegheny County, Pennsylvania","42","003","417200",34055
"141","Census Tract 4180, Allegheny County, Pennsylvania","42","003","418000",55321
"142","Census Tract 4190, Allegheny County, Pennsylvania","42","003","419000",49643
"143","Census Tract 4200, Allegheny County, Pennsylvania","42","003","420000",39929
"144","Census Tract 4211, Allegheny County, Pennsylvania","42","003","421100",72450
"145","Census Tract 4212, Allegheny County, Pennsylvania","42","003","421200",92051
"146","Census Tract 4220, Allegheny County, Pennsylvania","42","003","422000",148553
"147","Census Tract 4230, Allegheny County, Pennsylvania","42","003","423000",66108
"148","Census Tract 4240, Allegheny County, Pennsylvania","42","003","424000",32431
"149","Census Tract 4250, Allegheny County, Pennsylvania","42","003","425000",44615
"150","Census Tract 4263, Allegheny County, Pennsylvania","42","003","426300",77057
"151","Census Tract 4264, Allegheny County, Pennsylvania","42","003","426400",61680
"152","Census Tract 4267, Allegheny County, Pennsylvania","42","003","426700",57885
"153","Census Tract 4268, Allegheny County, Pennsylvania","42","003","426800",79491
"154","Census Tract 4270, Allegheny County, Pennsylvania","42","003","427000",35496
"155","Census Tract 4271, Allegheny County, Pennsylvania","42","003","427100",78393
"156","Census Tract 4272, Allegheny County, Pennsylvania","42","003","427200",51315
"157","Census Tract 4281, Allegheny County, Pennsylvania","42","003","428100",54712
"158","Census Tract 4282, Allegheny County, Pennsylvania","42","003","428200",65000
"159","Census Tract 4291, Allegheny County, Pennsylvania","42","003","429100",68244
"160","Census Tract 4292.01, Allegheny County, Pennsylvania","42","003","429201",81033
"161","Census Tract 4292.02, Allegheny County, Pennsylvania","42","003","429202",72861
"162","Census Tract 4293, Allegheny County, Pennsylvania","42","003","429300",71890
"163","Census Tract 4294, Allegheny County, Pennsylvania","42","003","429400",68780
"164","Census Tract 4295, Allegheny County, Pennsylvania","42","003","429500",60506
"165","Census Tract 4296, Allegheny County, Pennsylvania","42","003","429600",58423
"166","Census Tract 4297, Allegheny County, Pennsylvania","42","003","429700",46071
"167","Census Tract 4301, Allegheny County, Pennsylvania","42","003","430100",54625
"168","Census Tract 4302, Allegheny County, Pennsylvania","42","003","430200",58218
"169","Census Tract 4311, Allegheny County, Pennsylvania","42","003","431100",41118
"170","Census Tract 4314, Allegheny County, Pennsylvania","42","003","431400",45882
"171","Census Tract 4315, Allegheny County, Pennsylvania","42","003","431500",38079
"172","Census Tract 4323, Allegheny County, Pennsylvania","42","003","432300",39265
"173","Census Tract 4324, Allegheny County, Pennsylvania","42","003","432400",39720
"174","Census Tract 4340, Allegheny County, Pennsylvania","42","003","434000",91250
"175","Census Tract 4350, Allegheny County, Pennsylvania","42","003","435000",55399
"176","Census Tract 4370, Allegheny County, Pennsylvania","42","003","437000",105919
"177","Census Tract 4390, Allegheny County, Pennsylvania","42","003","439000",92083
"178","Census Tract 4455, Allegheny County, Pennsylvania","42","003","445500",69625
"179","Census Tract 4460, Allegheny County, Pennsylvania","42","003","446000",154545
