NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 1405, Allegheny County, Pennsylvania",1887,924,963,32.4,58405,42,3,140500,0.489666137,0.510333863,18.8,1240,64.3,55.8,8.5,20.6,5,1.5
"Census Tract 1406, Allegheny County, Pennsylvania",3204,1512,1692,37.3,75982,42,3,140600,0.471910112,0.528089888,25.1,1936,62.3,54.5,7.9,16.9,7.1,6.1
"Census Tract 1408, Allegheny County, Pennsylvania",4651,2363,2288,34.4,70231,42,3,140800,0.508062782,0.491937218,21.4,2505,63.3,54.2,9.1,17.8,9.9,3.1
"Census Tract 1410, Allegheny County, Pennsylvania",1059,554,505,40.1,67188,42,3,141000,0.523135033,0.476864967,26.4,525,64.4,56,8.4,23.8,1,4.6
"Census Tract 1411, Allegheny County, Pennsylvania",1321,704,617,44.7,65313,42,3,141100,0.532929599,0.467070401,25.5,704,82.4,77.4,5,13.4,0.6,0
"Census Tract 1413, Allegheny County, Pennsylvania",5399,2550,2849,33.1,46414,42,3,141300,0.472309687,0.527690313,23.6,2748,54.3,42.2,12.1,28.6,11.6,3.1
"Census Tract 1414, Allegheny County, Pennsylvania",5690,2465,3225,38.9,64970,42,3,141400,0.433216169,0.566783831,22.7,2819,76.4,70.3,6.1,17.2,2.8,0
"Census Tract 1516, Allegheny County, Pennsylvania",2702,1274,1428,36.8,64236,42,3,151600,0.471502591,0.528497409,23.1,1499,70.2,55,15.1,15.3,3.5,2
"Census Tract 1517, Allegheny County, Pennsylvania",5257,2584,2673,33.8,62329,42,3,151700,0.491535096,0.508464904,23.2,3189,72.5,65.9,6.6,17.9,3,0.7
"Census Tract 1608, Allegheny County, Pennsylvania",2927,1743,1184,30.7,44878,42,3,160800,0.595490263,0.404509737,26,1759,72.4,62.4,9.9,15.6,7.7,0.4
"Census Tract 1609, Allegheny County, Pennsylvania",3284,1665,1619,28.6,53992,42,3,160900,0.507003654,0.492996346,20.6,1995,73.6,64.8,8.9,9,10,4.4
"Census Tract 1702, Allegheny County, Pennsylvania",3506,2045,1461,28.3,48837,42,3,170200,0.583285796,0.416714204,22,2635,52.1,48.7,3.4,17.3,17,6.8
"Census Tract 1706, Allegheny County, Pennsylvania",1729,1079,650,33.3,45508,42,3,170600,0.62406015,0.37593985,25.1,1069,71,64.5,6.5,15.6,7.4,0.5
"Census Tract 1803, Allegheny County, Pennsylvania",2293,932,1361,34.5,27656,42,3,180300,0.406454427,0.593545573,23.6,787,63.8,52.1,11.7,26.6,2.7,0
"Census Tract 1807, Allegheny County, Pennsylvania",2200,1204,996,33.8,38576,42,3,180700,0.547272727,0.452727273,20,1151,79.5,72.5,7,14,1.8,1.8
